time,open,high,low,close,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,tf,tf,tr,tr,Range,Range,Border,Border,Border,avg,Volume,Volume MA,TSF,,,,FAST,Plot,SLOW,Buy,Sell,Tail,Tail+,Tail-,%K,Support Line,OTT,Buy,Sell,Plot,0,1,2,3,3,,,,,,,Buy,Sell,StopBuy,StopSell,HOTT,LOTT,Buy,Sell
1600443000,220.43,220.63,219.64,219.81,217.2062713038182,NaN,NaN,NaN,NaN,NaN,220.1275,NaN,NaN,NaN,NaN,216.31760040600287,221.2564568445693,220.0217427349277,217.55231451564447,218.7870286252861,215.35226836765474,27275,28826.7,0.5817578384795733,1.0166109100328367,-1.0166109100328367,-0.6553376118593413,1.5635980883005658,1.5635980883005658,-5.342284076819553,NaN,NaN,0.02503399126266094,0.7758421629002615,-0.6951252350050657,1075.606998796224,NaN,1073.22507574003,NaN,NaN,1.3340281467928106,0.6705779039438438,0.6341439193054035,0.3701623844583205,0.37504695974954116,0.2772150978792288,0,1,-1,2,-2,-1.0339193495291727,NaN,NaN,NaN,NaN,0.002189769599697334,0.0021837970734603883,NaN,NaN
1600446600,219.8,220.2,219.11,219.11,217.23638044596223,NaN,NaN,NaN,NaN,NaN,219.555,NaN,NaN,NaN,NaN,216.31760040600287,221.2564568445693,220.0217427349277,217.55231451564447,218.7870286252861,215.35226836765474,29450,29844.35,0.2165904927075673,0.8643340081084736,-0.8643340081084736,-0.8596896068051141,0.9881889140576092,0.9881889140576092,-5.342284076819553,NaN,NaN,0.3341462811191766,0.7774123457631859,-0.6954129356404457,1075.6138505817205,NaN,1073.22507574003,NaN,NaN,1.4028632977688127,-0.08299466006236883,0.19141096619073944,-0.13328677533261488,0.09487357908489939,0.26361120732412646,0,1,-1,2,-2,-1.0338566138134726,NaN,NaN,NaN,NaN,0.002189769599697334,0.0021840992141222266,NaN,NaN
1600450200,219.03,219.42,218.5,219.16,217.27506310413884,NaN,NaN,NaN,NaN,NaN,219.0275,NaN,NaN,NaN,NaN,216.31760040600287,221.2564568445693,220.0217427349277,217.55231451564447,218.7870286252861,215.35226836765474,31392,30555.75,0.2571072232506819,0.795186788352314,-0.795186788352314,-0.49940978843184824,0.6940430145799965,0.6940430145799965,-5.342284076819553,NaN,NaN,-0.2261719607760193,0.7769502708330538,-0.7003359073954563,1075.625444735661,NaN,1073.22507574003,NaN,NaN,1.4897921526761826,-0.36494029317053683,0.3062099432227647,-0.06892294915311088,0.10717023087752858,0.2210999905737014,0,1,-1,2,-2,1.427447691596743,NaN,NaN,NaN,NaN,0.002189769599697334,0.002184577912900703,NaN,NaN
1600453800,219.12,219.42,218.65,218.87,217.31376718555182,NaN,NaN,NaN,NaN,NaN,219.015,NaN,NaN,NaN,NaN,216.31760040600287,221.2564568445693,220.0217427349277,217.55231451564447,218.7870286252861,215.35226836765474,32442,31271.35,0.13469617755268506,0.7341762851167337,-0.7341762851167337,-0.7887221794116384,-0.042153762741037326,-0.042153762741037326,-5.342284076819553,NaN,NaN,0.06729832268379188,0.7779375675101518,-0.693465741834035,1075.6299920138995,NaN,1073.22507574003,NaN,NaN,1.4512429375091322,-0.6290192595877606,0.15857582467161116,-0.255681938500448,-0.009138427898486623,0.15291258176804812,0,1,-1,2,-2,-0.5834061110694507,NaN,NaN,NaN,NaN,0.002189769599697334,0.002184797010018276,NaN,NaN
1600457400,218.96,219.04,217.84,218.08,217.31376718555182,NaN,NaN,NaN,NaN,NaN,218.48000000000002,NaN,NaN,NaN,NaN,216.31760040600287,221.2564568445693,220.0217427349277,217.55231451564447,218.7870286252861,215.35226836765474,46533,32213,-0.1722391084092915,0.7467869882744089,-0.7467869882744089,-0.9177646524307081,-1.9333433714032608,-1.9333433714032608,-5.342284076819553,NaN,NaN,-0.13458146515472796,0.7779361977581837,-0.6930708032105181,1075.6257592790485,NaN,1073.22507574003,NaN,NaN,1.4643022922777598,-1.0749817690675203,-0.3440129041071406,-0.811706009348034,-0.3110633265079064,0.019871752497646167,0,1,-1,2,-2,-0.5833831816409827,NaN,NaN,NaN,NaN,0.002189769599697334,0.0021846996371157187,NaN,NaN
1600695000,214.35,215.45,211.76,212.15,NaN,NaN,NaN,218.4239344778562,218.4239344778562,NaN,213.42749999999998,219.15434660342817,211.3902826698286,NaN,NaN,211.3902826698286,219.15434660342817,217.21333062002827,213.3312986532285,215.27231463662838,215.35226836765474,98148,34871,-2.8477604569992367,1.2248083091102593,-1.2248083091102593,-3.352922418113058,-9.274623127604052,-9.274623127604052,-1.9598023797253958,NaN,NaN,0.5680200573491657,0.7678137002709442,-0.6875417570576863,1075.4458244283894,NaN,1073.22507574003,NaN,NaN,2.844144102373887,-2.7104111538291615,-3.048665105886509,-3.6928090034018557,-2.3987135945742253,-0.6180347915879222,0,1,-1,2,-2,-0.583360254754329,NaN,NaN,NaN,NaN,0.002189769599697334,0.002179342595703757,NaN,NaN
1600698600,212.01,212.28,209.09,209.48,NaN,NaN,NaN,218.4239344778562,NaN,NaN,210.715,217.25086851722415,208.6819565741388,NaN,NaN,208.6819565741388,217.25086851722415,215.1086405314528,210.82418455991015,212.96641254568146,215.35226836765474,50806,36044.3,-3.5935695645453207,1.6986716266521666,-1.6986716266521666,-4.1105923281149925,-15.614026918902944,-15.614026918902944,-8.06657183432943,NaN,NaN,-0.09426169187503577,0.7449960742028783,-0.6833489195807072,1075.0355553485622,NaN,1073.22507574003,NaN,NaN,2.4950836697432113,-2.5164120616331584,-2.9899235365399424,-3.676395890966196,-3.0559938659191928,-1.387001196192132,0,1,-1,2,-2,-0.5833373306705408,NaN,NaN,NaN,NaN,0.002189769599697334,0.00216774005599185,NaN,NaN
1600702200,209.47,210.59,208.86,210.54,NaN,NaN,NaN,218.3426881916746,NaN,NaN,209.865,216.84360158619214,208.6819565741388,NaN,NaN,208.6819565741388,216.84360158619214,214.8031903331788,210.72236782715214,212.76277908016547,215.35226836765474,77930,38523.75,-2.358086010123733,1.867793136047371,-1.867793136047371,-3.364391609675499,-18.106153359108408,-18.106153359108408,-10.342757481588116,NaN,NaN,-0.43801621359496096,0.7333895281137545,-0.6941192941401176,1074.5281247386413,NaN,1073.22507574003,NaN,NaN,2.772253515963881,-1.694514437824027,-2.1643033163324272,-2.749736937510165,-2.5320172017849596,-1.8654967987413913,0,1,-1,2,-2,1.5975083253797886,NaN,NaN,NaN,NaN,0.002189769599697334,0.00215564918815953,NaN,NaN
1600705800,210.54,210.6,208.77,209.05,NaN,NaN,NaN,218.17872502697696,NaN,NaN,209.74,216.65880135959324,208.6819565741388,NaN,NaN,208.6819565741388,216.65880135959324,214.66459016322963,210.67616777050242,212.67037896686602,215.35226836765474,41986,39484.6,-2.5326135237641276,2.086777023576559,-2.086777023576559,-3.8275751023600257,-20.58737494233112,-20.58737494233112,-12.62376961196891,NaN,NaN,-0.17119862313329084,0.7267045000525728,-0.698324822886626,1073.9223976179815,NaN,1073.22507574003,NaN,NaN,2.6243867776274614,-1.8593002990526741,-2.209308861921917,-2.790016299687831,-2.784344439373692,-2.2148326095367814,0,1,-1,2,-2,-0.5606372281978202,NaN,NaN,NaN,NaN,0.0021876046528119396,0.0021428177492833537,NaN,NaN
1600709400,209.13,209.94,209.13,209.87,NaN,NaN,NaN,217.98705311628433,NaN,NaN,209.5175,216.40040116536562,208.6819565741388,NaN,NaN,208.6819565741388,216.40040116536562,214.47079001755893,210.6115677219455,212.54117886975223,215.35226836765474,44051,39842.65,-1.4760384546442606,2.210294065347024,-2.210294065347024,-3.4281244248113296,-20.947508412870423,-20.947508412870423,-12.844120849951445,NaN,NaN,0.054672379512500126,0.7256237211055893,-0.6987768337013011,1073.4534986886208,NaN,1073.22507574003,NaN,NaN,2.569171680416163,-0.8390631005284813,-1.7244965995865293,-2.2710085420036834,-2.408686186363956,-2.3506299564424227,0,1,-1,2,-2,0.7766745281150448,-1.8,NaN,NaN,0,0.0021814303733950022,0.0021353488920758594,NaN,NaN
